Product_Name,Category,Unit_Price,Current_Stock,Daily_Demand_Mean,Daily_Demand_Std,Annual_Demand,EOQ,EOQ_Constrained,Safety_Stock,Reorder_Point,Days_Of_Supply,Needs_Reorder,Order_Quantity,Order_Cost,Category_Multiplier
Bell Pepper,Fruits & Vegetables,4.4,26,1.9666666666666666,4.207136793592526,708.0,253.69989429173273,27.53333333333333,27.54931827650187,41.31598494316854,13.220338983050848,True,42.84931827650186,238.5370004166082,1.5
Vegetable Oil,Oils & Fats,2.0,75,2.0714285714285716,5.0355200908182285,745.7142857142858,386.1901826080735,100.0,17.58600872447023,32.08600872447023,36.206896551724135,False,0.0,0.0,0.8
Parmesan Cheese,Dairy,11.8,96,1.9148148148148147,4.0662213882916936,689.3333333333333,152.8634411441077,40.21111111111111,24.851466414740262,38.255170118443964,50.135396518375245,False,0.0,0.0,1.4
Carrot,Fruits & Vegetables,1.5,74,1.8238095238095238,4.2669430182612516,656.5714285714286,418.43244889194995,25.53333333333333,27.940943459886455,40.70761012655312,40.574412532637076,False,0.0,0.0,1.5
Garlic,Fruits & Vegetables,7.0,43,2.3666666666666667,4.043513323831146,852.0,220.6483951578037,33.13333333333333,26.47787342763765,43.04454009430432,18.16901408450704,True,33.17787342763765,282.2451139934635,1.5
Lemon,Fruits & Vegetables,2.5,65,1.7370370370370372,3.7480310331578637,625.3333333333334,316.31208218045253,24.31851851851852,24.54298609922327,36.70224535848253,37.42004264392324,False,0.0,0.0,1.5
Coconut Sugar,Grains & Pulses,5.0,51,2.06,4.556899530748218,741.5999999999999,243.57339756221324,100.0,13.925168458586057,28.34516845858606,24.75728155339806,False,0.0,0.0,0.7
Anchovies,Seafood,10.0,100,2.0242424242424244,4.633272885429261,728.7272727272727,170.73104846246014,14.169696969696972,32.36240782142144,46.532104791118414,49.40119760479042,False,0.0,0.0,1.6
Cheese,Dairy,9.5,76,1.9428571428571428,2.9434580986029495,699.4285714285714,171.60892768195475,40.8,17.98949026515204,31.589490265152037,39.11764705882353,False,0.0,0.0,1.4
Yogurt,Dairy,1.75,86,1.9148148148148147,3.623085559463565,689.3333333333333,396.9406816665492,40.21111111111111,22.143159582505294,35.546863286208996,44.91295938104449,False,0.0,0.0,1.4
Cheddar Cheese,Dairy,9.0,70,2.25,3.826443082899139,810.0,189.73665961010275,47.25,23.386016815610134,39.136016815610134,31.11111111111111,False,0.0,0.0,1.4
Avocado Oil,Oils & Fats,10.0,14,1.680952380952381,5.909521890947849,605.1428571428571,155.58185718686573,100.0,20.638365383777025,32.405032050443694,8.328611898016996,True,118.40503205044371,1234.050320504437,0.8
Orange,Fruits & Vegetables,3.1,92,2.227272727272727,4.103818016682707,801.8181818181818,321.6526240483431,31.18181818181818,26.872762697571684,42.463671788480774,41.30612244897959,False,0.0,0.0,1.5
Digestive Biscuit,Bakery,4.0,39,2.32,3.28146308831899,835.1999999999999,288.99826989101507,32.48,18.62275115013891,34.862751150138905,16.810344827586206,False,0.0,0.0,1.3
Cauliflower,Fruits & Vegetables,2.55,48,2.0244444444444443,4.090349980498363,728.8,338.1147270194704,28.34222222222222,26.784570838451003,40.95568194956211,23.710208562019762,False,0.0,0.0,1.5
Pear,Fruits & Vegetables,4.45,58,1.6814814814814814,3.848146365807166,605.3333333333333,233.26376705079292,23.540740740740738,25.198564773944305,36.96893514431467,34.49339207048458,False,0.0,0.0,1.5
Egg (Turkey),Dairy,2.5,42,2.086666666666667,3.4333656956403584,751.2,346.6871788803272,43.82000000000001,20.983651436296782,35.59031810296345,20.127795527156547,False,0.0,0.0,1.4
Ricotta Cheese,Dairy,6.0,91,1.9074074074074074,3.978439837309929,686.6666666666666,213.95742047841617,40.05555555555556,24.314973179930522,37.66682503178237,47.70873786407767,False,0.0,0.0,1.4
Eggplant,Fruits & Vegetables,3.0,97,1.5133333333333332,2.8626328207904463,544.8,269.5180884467682,21.186666666666664,18.745190983289554,29.338524316622888,64.09691629955948,False,0.0,0.0,1.5
Whole Wheat Flour,Grains & Pulses,2.75,60,1.5291666666666666,3.6451308847099946,550.5,282.9712481379111,100.0,11.13894683889314,21.843113505559806,39.23705722070845,False,0.0,0.0,0.7
Arabica Coffee,Beverages,20.0,46,1.8208333333333333,4.665866746918518,655.5,114.49890829173874,100.0,20.368793053805373,33.114626387138706,25.263157894736842,False,0.0,0.0,1.0
Sweet Potato,Fruits & Vegetables,2.0,49,2.8555555555555556,2.653439417198128,1028.0,453.43136195018536,39.97777777777778,17.375343521783968,37.364232410672855,17.15953307392996,False,0.0,0.0,1.5
Mango,Fruits & Vegetables,5.0,53,1.6696969696969697,3.8261100947699185,601.0909090909091,219.2881043907141,23.375757575757575,25.05426610379957,36.74214489167836,31.742286751361164,False,0.0,0.0,1.5
Kale,Fruits & Vegetables,4.0,77,1.6733333333333333,4.469750179447019,602.4000000000001,245.43838330627915,23.426666666666666,29.26897230857277,40.9823056419061,46.015936254980076,False,0.0,0.0,1.5
Jasmine Rice,Grains & Pulses,4.75,24,2.035897435897436,3.797746658798892,732.9230769230769,248.43477626266449,100.0,11.605316647857629,25.85659869913968,11.788413098236774,True,101.85659869913968,533.8188438209135,0.7
Sourdough Bread,Bakery,4.0,41,1.8333333333333333,3.8549456624712706,660.0,256.9046515733026,25.666666666666664,21.877343074514332,34.710676407847664,22.363636363636363,False,0.0,0.0,1.3
Green Coffee,Beverages,12.0,20,2.025,5.037980746291117,729.0,155.88457268119896,100.0,21.993252871619514,36.168252871619515,9.876543209876544,True,116.16825287161953,1444.0190344594344,1.0
